SKU,Ebay UK
Dracaenea Sand 5 Stem - Lime (1 Pk),25
H & S Classic (12 Pack),35
H & S Classic (6 Pack),35
H & S Classic (3 Pack),35
H & S Classic (9 Pack),35
Dracaenea Sand 5 Stem - Lime (2 Pk),25
Dracaenea Sand 5 Stem - Lime (3 Pk),25
D126-22 (Red),25
SS Shelves (300 x 40),99
MS8BS (Black) (1 Pack),35
MS8BS (Black) (6 Pack),35
MS8BS (Black) (9 Pack),35
SS Shelves (300 x 100),99
SS Shelves (600 x 40),99
SS Shelves (600 x 70),99
SS Shelves (900 x 40),99
SS Shelves (900 x 100),99
Palladium Pampa HI (UK 8),65
Palladium Pampa HI (UK 7),65
Palladium Pampa HI (UK 6),65
