SKU,MarketPlacePriceUpdate,eBay_UK,eBay_US,eBay_CA,eBay_AU,OnBuy
SS Shelves (300 x 40),99,99,116.82,151.47,168.29999999999998,99
H & S Classic (12 Pack),35,35,41.3,53.550000000000004,59.5,35
Palladium Pampa HI (UK 8),65,65,76.7,99.45,110.5,65
D126-22 (Red),25,25,29.5,38.25,42.5,25
H & S Classic (6 Pack),35,35,41.3,53.550000000000004,59.5,35
MS8BS (Black) (1 Pack),35,35,41.3,53.550000000000004,59.5,35
MS8BS (Black) (6 Pack),35,35,41.3,53.550000000000004,59.5,35
SS Shelves (900 x 100),99,99,116.82,151.47,168.29999999999998,99
H & S Classic (3 Pack),35,35,41.3,53.550000000000004,59.5,35
Dracaenea Sand 5 Stem - Lime (3 Pk),25,25,29.5,38.25,42.5,25
Dracaenea Sand 5 Stem - Lime (2 Pk),25,25,29.5,38.25,42.5,25
Dracaenea Sand 5 Stem - Lime (1 Pk),25,25,29.5,38.25,42.5,25
H & S Classic (9 Pack),35,35,41.3,53.550000000000004,59.5,35
Palladium Pampa HI (UK 7),65,65,76.7,99.45,110.5,65
SS Shelves (900 x 40),99,99,116.82,151.47,168.29999999999998,99
MS8BS (Black) (9 Pack),35,35,41.3,53.550000000000004,59.5,35
Palladium Pampa HI (UK 6),65,65,76.7,99.45,110.5,65
SS Shelves (600 x 70),99,99,116.82,151.47,168.29999999999998,99
SS Shelves (600 x 40),99,99,116.82,151.47,168.29999999999998,99
SS Shelves (300 x 100),99,99,116.82,151.47,168.29999999999998,99
